		名詞	
@あきゅう	九代目のサヴァン	名詞	鈴：阿求の二つ名
@あきゅう	求聞持の能力	名詞	求：阿求の能力
@あきゅう	一度見た物を忘れない程度の能力	名詞	幺：阿求の能力
@あや	伝統の幻想ブン屋	名詞	花緋地非求文三儚：文の二つ名
@あや	里に最も近い天狗	名詞	風：文の二つ名
@あや	風雨の鴉	名詞	緋(本編)：文の二つ名
@あや	捏造新聞記者	名詞	DS：文の二つ名(ターゲットコードネーム)
@あや	風を操る程度の能力	名詞	花風地求：文の能力
@あや	風符「風神一扇」	名詞	花：文 C2、C3
@あや	疾風「風神少女」	名詞	花：文 ボスアタック
@あや	物言えば唇寒し秋の風	名詞	花：文 カットイン
@あや	補扇	名詞	花：文のC1
@あや	天狗烈風弾	名詞	花：文のExショット
@あや	岐符「天の八衢」	名詞	風：文 4面EN--
@あや	岐符「サルタクロス」	名詞	風：文 4面--HL
@あや	風神「風神木の葉隠れ」	名詞	風：文 4面EN--
@あや	風神「天狗颪」	名詞	風：文 4面--H-
@あや	風神「二百十日」	名詞	風：文 4面---L
@あや	「幻想風靡」	名詞	風：文 4面-NH- / 緋：文の自機・ストーリースペル / DS：SP-9 文 / 非：文のスペル
@あや	「無双風神」	名詞	風：文 4面---L
@あや	塞符「山神渡御」	名詞	風：文 4面EN--
@あや	塞符「天孫降臨」	名詞	風：文 4面--H-
@あや	塞符「天上天下の照國」	名詞	風：文 4面---L
@あや	疾風扇	名詞	緋非：文の必殺技
@あや	疾走風靡	名詞	緋非：文の必殺技
@あや	天狗の立風露	名詞	緋非：文の必殺技
@あや	暗夜の礫	名詞	緋非：文の必殺技
@あや	烈風扇	名詞	緋非：文の必殺技
@あや	疾走優美	名詞	緋非：文の必殺技
@あや	天狗のダウンバースト	名詞	緋非：文の必殺技
@あや	鎌風ベーリング	名詞	緋非：文の必殺技
@あや	天狗ナメシ	名詞	緋非：文の必殺技
@あや	天狗の太鼓	名詞	緋非：文の必殺技
@あや	旋符「紅葉扇風」	名詞	緋非：文のスペル
@あや	竜巻「天孫降臨の道しるべ」	名詞	緋非：文のスペル
@あや	逆風「人間禁制の道」	名詞	緋非：文のスペル
@あや	突符「天狗のマクロバースト」	名詞	緋非：文のスペル
@あや	風符「天狗道の開風」	名詞	緋非：文のスペル
@あや	魔獣「鎌鼬ベーリング」	名詞	緋非：文のスペル
@あや	突風「猿田彦の先導」	名詞	緋：文の自機・ストーリースペル / 非：文のスペル
@あや	旋符「飄妖扇」	名詞	緋：文のストーリースペル
@あや	旋風「鳥居つむじ風」	名詞	緋：文のストーリースペル
@あや	楓扇風	名詞	非：文の必殺技
@あや	天狗礫	名詞	非：文の必殺技
@あや	風符「天狗報即日限」	名詞	非：文のスペル
@あや	鴉符「暗夜のデイメア」	名詞	非：文のスペル
@あや	取材「射命丸文の圧迫取材」	名詞	DS：SP-6 文
@あや	望遠「キャンディッドショット」	名詞	DS：SP-7 文
@あや	速写「ファストショット」	名詞	DS：SP-8 文
@ありす	七色の人形使い	名詞	妖：アリスの二つ名
@ありす	七色の人形遣い	名詞	萃永緋地非求三：アリスの二つ名
@ありす	見た目だけ賑やかな妖怪	名詞	文：アリスの二つ名(ターゲットコードネーム)
@ありす	雹の人形遣い	名詞	緋(本編)：アリスの二つ名
@ありす	魔法を扱う程度の能力	名詞	妖永萃：アリスの能力
@ありす	人形を操る程度の能力	名詞	地求：アリスの能力
@ありす	操符「乙女文楽」	名詞	妖：アリス 3面--HL
@ありす	蒼符「博愛の仏蘭西人形」	名詞	妖：アリス 3面ENH-
@ありす	蒼符「博愛のオルレアン人形」	名詞	妖：アリス 3面---L
@ありす	紅符「紅毛の和蘭人形」	名詞	妖：アリス 3面EN--
@ありす	白符「白亜の露西亜人形」	名詞	妖：アリス 3面--HL
@ありす	闇符「霧の倫敦人形」	名詞	妖：アリス 3面EN--
@ありす	廻符「輪廻の西蔵人形」	名詞	妖：アリス 3面--H-
